base_time,base_x,joint_time,target_pos_0,actual_pos_0,actual_vel_0,target_pos_1,actual_pos_1,actual_vel_1,target_pos_2,actual_pos_2,actual_vel_2,target_pos_3,actual_pos_3,actual_vel_3,target_pos_4,actual_pos_4,actual_vel_4,target_pos_5,actual_pos_5,actual_vel_5,target_pos_6,actual_pos_6,actual_vel_6,target_pos_7,actual_pos_7,actual_vel_7,torque_time,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,contact_time,contact_fx,contact_fy,contact_fz,contact_magnitude
2.742999999999809,0.8446083782690639,,,,,,,,,,,,,,,,,,,,,,,,,,2.742999999999809,0.01478735231970283,0.07324591716085416,0.01826819951199004,-0.3936002358049529,0.006780204004080725,0.0007346121198033573,-0.0018974290035162072,0.00544613570472641,2.742999999999809,0.0,0.0,0.0,0.0
2.743999999999809,0.8451687755691067,,,,,,,,,,,,,,,,,,,,,,,,,,2.743999999999809,0.0023952483175170777,-0.08392311755163584,-0.020541621389152054,0.38697992991312274,0.0061920473655052485,0.004406146834529534,-0.0001873045319614701,-0.004586279004669797,2.743999999999809,0.0,0.0,0.0,0.0
2.7449999999998087,0.845728843013562,,,,,,,,,,,,,,,,,,,,,,,,,,2.7449999999998087,0.08603002735396448,-0.033446560112114165,-0.04173243130530518,-0.45319909963457417,0.0797535549663298,0.03802608513456053,-0.0002518964345627569,0.005341520609216622,2.7449999999998087,0.0,0.0,0.0,0.0
2.7459999999998086,0.846288612985179,,,,,,,,,,,,,,,,,,,,,,,,,,2.7459999999998086,0.03479829578764544,-0.03248003457873358,0.06699834002538466,0.4400779903456167,0.027574726253551618,0.005542245625191611,-0.0019326538505077826,0.005385787390195478,2.7459999999998086,0.0,0.0,0.0,0.0
2.7469999999998085,0.8468456602938057,,,,,,,,,,,,,,,,,,,,,,,,,,2.7469999999998085,0.009157018657676111,0.01814288021159073,-0.06719716217377947,-0.4482017847691057,0.010178023996918563,0.006492619293105845,-0.001910304399671684,-0.0024912548533700344,2.7469999999998085,0.0,0.0,0.0,0.0
2.7479999999998084,0.8474025008132894,,,,,,,,,,,,,,,,,,,,,,,,,,2.7479999999998084,0.006579406862174508,-0.03509945349437213,0.06793780804169192,0.44261575047257734,0.00442344430073246,0.0005764930647161378,-0.0017157464176132853,0.003932712255583136,2.7479999999998084,0.0,0.0,0.0,0.0
2.7489999999998083,0.8479584191375535,,,,,,,,,,,,,,,,,,,,,,,,,,2.7489999999998083,0.006162305007376134,0.027448661591246676,-0.0712104522768652,-0.44972526483046427,0.003920953210999412,0.002446307990986751,0.00041580439083695555,-0.0033534649837698776,2.7489999999998083,0.0,0.0,0.0,0.0
2.749999999999808,0.8485146709756606,,,,,,,,,,,,,,,,,,,,,,,,,,2.749999999999808,0.08666880338072545,-0.1606585298464715,0.0014745248844100674,0.37742421225287787,0.08687046550933374,0.04276225324773144,0.0002662403367595422,0.0037970852469097482,2.749999999999808,0.0,0.0,0.0,0.0
2.750999999999808,0.8490702389540905,,,,,,,,,,,,,,,,,,,,,,,,,,2.750999999999808,0.04458931995700777,0.08820437511218815,0.027462897028596278,-0.3923196698934661,0.028241040418206142,0.0036802710716598947,-0.0016805937252459715,0.007918144655716969,2.750999999999808,0.0,0.0,0.0,0.0
2.751999999999808,0.8496234979755332,,,,,,,,,,,,,,,,,,,,,,,,,,2.751999999999808,-0.00069059065841727,-0.09873118102769296,-0.024115002012333298,0.3889391239167824,0.008707459639917477,0.007312348837629273,-0.00170981937620086,-0.005057070230452409,2.751999999999808,0.0,0.0,0.0,0.0
